Distrito,Concelho,Freguesia,AreaCode,Party,Percentage,Votes
Aveiro,Águeda,União das freguesias de Recardães e Espinhel,010124,MAS,0.13,4
Aveiro,Águeda,União das freguesias de Recardães e Espinhel,010124,E,0.10,3
Aveiro,Águeda,União das freguesias de Recardães e Espinhel,010124,JPP,0.06,2
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,PS,39.71,496
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,PPD/PSD,37.15,464
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,CH,6.24,78
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,B.E.,4.24,53
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,IL,3.84,48
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,CDS-PP,3.04,38
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,PCP-PEV,1.04,13
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,L,0.72,9
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,PAN,0.64,8
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,PCTP/MRPP,0.32,4
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,MAS,0.24,3
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,R.I.R.,0.24,3
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,ADN,0.16,2
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,JPP,0.08,1
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,E,0.00,0
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,MPT,0.00,0
Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira,010125,VP,0.00,0
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,PS,42.71,1007
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,PPD/PSD,32.74,772
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,CH,5.89,139
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,IL,3.77,89
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,B.E.,3.73,88
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,CDS-PP,3.44,81
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,PCP-PEV,2.88,68
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,PAN,0.89,21
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,PCTP/MRPP,0.64,15
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,R.I.R.,0.42,10
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,L,0.38,9
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,ADN,0.21,5
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,VP,0.13,3
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,MAS,0.08,2
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,E,0.04,1
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,JPP,0.04,1
Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,MPT,0.04,1
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,PS,39.91,174
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,PPD/PSD,33.94,148
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,CH,9.63,42
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,B.E.,4.82,21
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,CDS-PP,4.36,19
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,IL,2.29,10
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,PAN,1.15,5
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,PCP-PEV,0.46,2
Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,010127,E,0.23,1
