nivel,distrito,concelho,freguesia,dicofre
3,Braga,Vieira do Minho,Parada de Bouro,31111
3,Braga,Vieira do Minho,Pinheiro,31112
3,Braga,Vieira do Minho,Rossas,31113
3,Braga,Vieira do Minho,Salamonde,31115
3,Braga,Vieira do Minho,Tabuaças,31118
3,Braga,Vieira do Minho,Vieira do Minho,31120
3,Braga,Vieira do Minho,União das freguesias de Anissó e Soutelo,31122
3,Braga,Vieira do Minho,União das freguesias de Anjos e Vilar do Chão,31123
3,Braga,Vieira do Minho,União das freguesias de Caniçada e Soengas,31124
3,Braga,Vieira do Minho,União das freguesias de Ruivães e Campos,31125
3,Braga,Vieira do Minho,União das freguesias de Ventosa e Cova,31126
3,Braga,Vila Nova de Famalicão,Bairro,31204
3,Braga,Vila Nova de Famalicão,Brufe,31206
3,Braga,Vila Nova de Famalicão,Castelões,31210
3,Braga,Vila Nova de Famalicão,Cruz,31212
3,Braga,Vila Nova de Famalicão,Delães,31213
3,Braga,Vila Nova de Famalicão,Fradelos,31215
3,Braga,Vila Nova de Famalicão,Gavião,31216
3,Braga,Vila Nova de Famalicão,Joane,31219
3,Braga,Vila Nova de Famalicão,Landim,31221
3,Braga,Vila Nova de Famalicão,Louro,31223
3,Braga,Vila Nova de Famalicão,Lousado,31224
3,Braga,Vila Nova de Famalicão,Mogege,31225
3,Braga,Vila Nova de Famalicão,Nine,31227
3,Braga,Vila Nova de Famalicão,Pedome,31230
3,Braga,Vila Nova de Famalicão,Pousada de Saramagos,31232
3,Braga,Vila Nova de Famalicão,Requião,31233
3,Braga,Vila Nova de Famalicão,Riba de Ave,31234
3,Braga,Vila Nova de Famalicão,Ribeirão,31235
3,Braga,Vila Nova de Famalicão,Oliveira (Santa Maria),31239
3,Braga,Vila Nova de Famalicão,Vale (São Martinho),31241
3,Braga,Vila Nova de Famalicão,Oliveira (São Mateus),31242
3,Braga,Vila Nova de Famalicão,Vermoim,31247
3,Braga,Vila Nova de Famalicão,Vilarinho das Cambas,31249
3,Braga,Vila Nova de Famalicão,União das freguesias de Antas e Abade de Vermoim,31250
3,Braga,Vila Nova de Famalicão,União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,31251
3,Braga,Vila Nova de Famalicão,União das freguesias de Avidos e Lagoa,31252
3,Braga,Vila Nova de Famalicão,União das freguesias de Carreira e Bente,31253
3,Braga,Vila Nova de Famalicão,União das freguesias de Esmeriz e Cabeçudos,31254
3,Braga,Vila Nova de Famalicão,"União das freguesias de Gondifelos, Cavalões e Outiz",31255
3,Braga,Vila Nova de Famalicão,"União das freguesias de Lemenhe, Mouquim e Jesufrei",31256
3,Braga,Vila Nova de Famalicão,União das freguesias de Ruivães e Novais,31257
3,Braga,Vila Nova de Famalicão,União das freguesias de Seide,31258
3,Braga,Vila Nova de Famalicão,"União das freguesias de Vale (São Cosme), Telhado e Portela",31259
3,Braga,Vila Nova de Famalicão,União das freguesias de Vila Nova de Famalicão e Calendário,31260
3,Braga,Vila Verde,Atiães,31304
3,Braga,Vila Verde,Cabanelas,31308
3,Braga,Vila Verde,Cervães,31309
3,Braga,Vila Verde,Coucieiro,31311
3,Braga,Vila Verde,Dossãos,31313
3,Braga,Vila Verde,Freiriz,31316
3,Braga,Vila Verde,Gême,31317
3,Braga,Vila Verde,Lage,31323
3,Braga,Vila Verde,Lanhas,31324
3,Braga,Vila Verde,Loureira,31325
3,Braga,Vila Verde,Moure,31328
3,Braga,Vila Verde,Oleiros,31330
3,Braga,Vila Verde,Parada de Gatim,31331
3,Braga,Vila Verde,Pico,31335
3,Braga,Vila Verde,Ponte,31337
3,Braga,Vila Verde,Sabariz,31340
3,Braga,Vila Verde,Vila de Prado,31342
3,Braga,Vila Verde,Prado (São Miguel),31350
3,Braga,Vila Verde,Soutelo,31352
3,Braga,Vila Verde,Turiz,31354
3,Braga,Vila Verde,Valdreu,31355
3,Braga,Vila Verde,Aboim da Nóbrega e Gondomar,31359
3,Braga,Vila Verde,União das freguesias da Ribeira do Neiva,31360
3,Braga,Vila Verde,União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),31361
3,Braga,Vila Verde,União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),31362
3,Braga,Vila Verde,"União das freguesias de Esqueiros, Nevogilde e Travassós",31363
3,Braga,Vila Verde,União das freguesias de Marrancos e Arcozelo,31364
3,Braga,Vila Verde,União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),31365
3,Braga,Vila Verde,"União das freguesias de Pico de Regalados, Gondiães e Mós",31366
3,Braga,Vila Verde,"União das freguesias de Sande, Vilarinho, Barros e Gomide",31367
3,Braga,Vila Verde,"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",31368
3,Braga,Vila Verde,União das freguesias do Vade,31369
3,Braga,Vila Verde,Vila Verde e Barbudo,31370
3,Braga,Vizela,Santa Eulália,31401
3,Braga,Vizela,Infias,31404
3,Braga,Vizela,Vizela (Santo Adrião),31406
3,Braga,Vizela,União das freguesias de Caldas de Vizela (São Miguel e São João),31408
3,Braga,Vizela,União das freguesias de Tagilde e Vizela (São Paio),31409
3,Bragança,Alfândega da Fé,Alfândega da Fé,40102
3,Bragança,Alfândega da Fé,Cerejais,40103
3,Bragança,Alfândega da Fé,Sambade,40111
3,Bragança,Alfândega da Fé,Vilar Chão,40118
3,Bragança,Alfândega da Fé,Vilarelhos,40119
3,Bragança,Alfândega da Fé,Vilares de Vilariça,40120
3,Bragança,Alfândega da Fé,"União das freguesias de Agrobom, Saldonha e Vale Pereiro",40121
3,Bragança,Alfândega da Fé,"União das freguesias de Eucisia, Gouveia e Valverde",40122
3,Bragança,Alfândega da Fé,União das freguesias de Ferradosa e Sendim da Serra,40123
3,Bragança,Alfândega da Fé,União das freguesias de Gebelim e Soeima,40124
3,Bragança,Alfândega da Fé,União das freguesias de Parada e Sendim da Ribeira,40125
3,Bragança,Alfândega da Fé,União das freguesias de Pombal e Vales,40126
3,Bragança,Bragança,Alfaião,40201
3,Bragança,Bragança,Babe,40203
3,Bragança,Bragança,Baçal,40204
3,Bragança,Bragança,Carragosa,40206
3,Bragança,Bragança,Castro de Avelãs,40209
3,Bragança,Bragança,Coelhoso,40210
3,Bragança,Bragança,Donai,40212
3,Bragança,Bragança,Espinhosela,40213
3,Bragança,Bragança,França,40215
3,Bragança,Bragança,Gimonde,40216
3,Bragança,Bragança,Gondesende,40217
3,Bragança,Bragança,Gostei,40218
3,Bragança,Bragança,Grijó de Parada,40219
3,Bragança,Bragança,Macedo do Mato,40221
3,Bragança,Bragança,Mós,40224
3,Bragança,Bragança,Nogueira,40225
3,Bragança,Bragança,Outeiro,40226
3,Bragança,Bragança,Parâmio,40229
3,Bragança,Bragança,Pinela,40230
3,Bragança,Bragança,Quintanilha,40232
3,Bragança,Bragança,Quintela de Lampaças,40233
3,Bragança,Bragança,Rabal,40234
3,Bragança,Bragança,Rebordãos,40236
3,Bragança,Bragança,Salsas,40239
3,Bragança,Bragança,Samil,40240
3,Bragança,Bragança,Santa Comba de Rossas,40241
3,Bragança,Bragança,São Pedro de Sarracenos,40244
3,Bragança,Bragança,Sendas,40246
3,Bragança,Bragança,Serapicos,40247
3,Bragança,Bragança,Sortes,40248
3,Bragança,Bragança,Zoio,40249
3,Bragança,Bragança,União das freguesias de Aveleda e Rio de Onor,40250
3,Bragança,Bragança,União das freguesias de Castrelos e Carrazedo,40251
3,Bragança,Bragança,"União das freguesias de Izeda, Calvelhe e Paradinha Nova",40252
3,Bragança,Bragança,União das freguesias de Parada e Faílde,40253
3,Bragança,Bragança,União das freguesias de Rebordainhos e Pombares,40254
3,Bragança,Bragança,União das freguesias de Rio Frio e Milhão,40255
3,Bragança,Bragança,União das freguesias de São Julião de Palácios e Deilão,40256
3,Bragança,Bragança,"União das freguesias de Sé, Santa Maria e Meixedo",40257
3,Bragança,Carrazeda de Ansiães,Carrazeda de Ansiães,40304
3,Bragança,Carrazeda de Ansiães,Fonte Longa,40306
3,Bragança,Carrazeda de Ansiães,Linhares,40308
3,Bragança,Carrazeda de Ansiães,Marzagão,40309
