nivel,distrito,concelho,freguesia,dicofre
3,Beja,Vidigueira,Selmes,21402
3,Beja,Vidigueira,Vidigueira,21403
3,Beja,Vidigueira,Vila de Frades,21404
3,Braga,Amares,Barreiros,30102
3,Braga,Amares,Bico,30104
3,Braga,Amares,Caires,30105
3,Braga,Amares,Carrazedo,30107
3,Braga,Amares,Dornelas,30108
3,Braga,Amares,Fiscal,30111
3,Braga,Amares,Goães,30112
3,Braga,Amares,Lago,30113
3,Braga,Amares,Rendufe,30118
3,Braga,Amares,Bouro (Santa Maria),30119
3,Braga,Amares,Bouro (Santa Marta),30120
3,Braga,Amares,União das freguesias de Amares e Figueiredo,30125
3,Braga,Amares,"União das freguesias de Caldelas, Sequeiros e Paranhos",30126
3,Braga,Amares,"União das freguesias de Ferreiros, Prozelo e Besteiros",30127
3,Braga,Amares,União das freguesias de Torre e Portela,30128
3,Braga,Amares,"União das freguesias de Vilela, Seramil e Paredes Secas",30129
3,Braga,Barcelos,Abade de Neiva,30201
3,Braga,Barcelos,Aborim,30202
3,Braga,Barcelos,Adães,30203
3,Braga,Barcelos,Airó,30205
3,Braga,Barcelos,Aldreu,30206
3,Braga,Barcelos,Alvelos,30208
3,Braga,Barcelos,Arcozelo,30209
3,Braga,Barcelos,Areias,30210
3,Braga,Barcelos,Balugães,30212
3,Braga,Barcelos,Barcelinhos,30213
3,Braga,Barcelos,Barqueiros,30215
3,Braga,Barcelos,Cambeses,30216
3,Braga,Barcelos,Carapeços,30218
3,Braga,Barcelos,Carvalhal,30220
3,Braga,Barcelos,Carvalhas,30221
3,Braga,Barcelos,Cossourado,30224
3,Braga,Barcelos,Cristelo,30228
3,Braga,Barcelos,Fornelos,30234
3,Braga,Barcelos,Fragoso,30235
3,Braga,Barcelos,Gilmonde,30237
3,Braga,Barcelos,Lama,30242
3,Braga,Barcelos,Lijó,30243
3,Braga,Barcelos,Macieira de Rates,30244
3,Braga,Barcelos,Manhente,30245
3,Braga,Barcelos,Martim,30247
3,Braga,Barcelos,Moure,30252
3,Braga,Barcelos,Oliveira,30254
3,Braga,Barcelos,Palme,30255
3,Braga,Barcelos,Panque,30256
3,Braga,Barcelos,Paradela,30257
3,Braga,Barcelos,Pereira,30259
3,Braga,Barcelos,Perelhal,30260
3,Braga,Barcelos,Pousa,30261
3,Braga,Barcelos,Remelhe,30263
3,Braga,Barcelos,Roriz,30264
3,Braga,Barcelos,Rio Covo (Santa Eugénia),30265
3,Braga,Barcelos,Galegos (Santa Maria),30268
3,Braga,Barcelos,Galegos (São Martinho),30272
3,Braga,Barcelos,Tamel (São Veríssimo),30277
3,Braga,Barcelos,Silva,30279
3,Braga,Barcelos,Ucha,30282
3,Braga,Barcelos,Várzea,30283
3,Braga,Barcelos,Vila Seca,30287
3,Braga,Barcelos,União das freguesias de Alheira e Igreja Nova,30290
3,Braga,Barcelos,União das freguesias de Alvito (São Pedro e São Martinho) e Couto,30291
3,Braga,Barcelos,União das freguesias de Areias de Vilar e Encourados,30292
3,Braga,Barcelos,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",30293
3,Braga,Barcelos,União das freguesias de Campo e Tamel (São Pedro Fins),30294
3,Braga,Barcelos,União das freguesias de Carreira e Fonte Coberta,30295
3,Braga,Barcelos,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",30296
3,Braga,Barcelos,União das freguesias de Creixomil e Mariz,30297
3,Braga,Barcelos,União das freguesias de Durrães e Tregosa,30298
3,Braga,Barcelos,União das freguesias de Gamil e Midões,30299
3,Braga,Barcelos,"União das freguesias de Milhazes, Vilar de Figos e Faria",0302FA
3,Braga,Barcelos,União das freguesias de Negreiros e Chavão,0302FB
3,Braga,Barcelos,União das freguesias de Quintiães e Aguiar,0302FC
3,Braga,Barcelos,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),0302FD
3,Braga,Barcelos,União das freguesias de Silveiros e Rio Covo (Santa Eulália),0302FE
3,Braga,Barcelos,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,0302FF
3,Braga,Barcelos,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",0302FG
3,Braga,Barcelos,União das freguesias de Vila Cova e Feitos,0302FH
3,Braga,Braga,Adaúfe,30301
3,Braga,Braga,Espinho,30312
3,Braga,Braga,Esporões,30313
3,Braga,Braga,Figueiredo,30315
3,Braga,Braga,Gualtar,30319
3,Braga,Braga,Lamas,30322
3,Braga,Braga,Mire de Tibães,30325
3,Braga,Braga,Padim da Graça,30330
3,Braga,Braga,Palmeira,30331
3,Braga,Braga,Pedralva,30334
3,Braga,Braga,Priscos,30336
3,Braga,Braga,Ruilhe,30338
3,Braga,Braga,Braga (São Vicente),30349
3,Braga,Braga,Braga (São Vítor),30351
3,Braga,Braga,Sequeira,30354
3,Braga,Braga,Sobreposta,30355
3,Braga,Braga,Tadim,30356
3,Braga,Braga,Tebosa,30357
3,Braga,Braga,União das freguesias de Arentim e Cunha,30363
3,Braga,Braga,"União das freguesias de Braga (Maximinos, Sé e Cividade)",30364
3,Braga,Braga,União das freguesias de Braga (São José de São Lázaro e São João do Souto),30365
3,Braga,Braga,União das freguesias de Cabreiros e Passos (São Julião),30366
3,Braga,Braga,"União das freguesias de Celeirós, Aveleda e Vimieiro",30367
3,Braga,Braga,União das freguesias de Crespos e Pousada,30368
3,Braga,Braga,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),30369
3,Braga,Braga,União das freguesias de Este (São Pedro e São Mamede),30370
3,Braga,Braga,União das freguesias de Ferreiros e Gondizalves,30371
3,Braga,Braga,União das freguesias de Guisande e Oliveira (São Pedro),30372
3,Braga,Braga,União das freguesias de Lomar e Arcos,30373
3,Braga,Braga,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",30374
3,Braga,Braga,União das freguesias de Merelim (São Pedro) e Frossos,30375
3,Braga,Braga,União das freguesias de Morreira e Trandeiras,30376
3,Braga,Braga,"União das freguesias de Nogueira, Fraião e Lamaçães",30377
3,Braga,Braga,União das freguesias de Nogueiró e Tenões,30378
3,Braga,Braga,"União das freguesias de Real, Dume e Semelhe",30379
3,Braga,Braga,União das freguesias de Santa Lucrécia de Algeriz e Navarra,30380
3,Braga,Braga,União das freguesias de Vilaça e Fradelos,30381
3,Braga,Cabeceiras de Basto,Abadim,30401
3,Braga,Cabeceiras de Basto,Basto,30404
3,Braga,Cabeceiras de Basto,Bucos,30405
3,Braga,Cabeceiras de Basto,Cabeceiras de Basto,30406
3,Braga,Cabeceiras de Basto,Cavez,30407
3,Braga,Cabeceiras de Basto,Faia,30408
3,Braga,Cabeceiras de Basto,Pedraça,30413
3,Braga,Cabeceiras de Basto,Rio Douro,30415
3,Braga,Cabeceiras de Basto,União das freguesias de Alvite e Passos,30418
3,Braga,Cabeceiras de Basto,União das freguesias de Arco de Baúlhe e Vila Nune,30419
3,Braga,Cabeceiras de Basto,União das freguesias de Gondiães e Vilar de Cunhas,30420
3,Braga,Cabeceiras de Basto,"União das freguesias de Refojos de Basto, Outeiro e Painzela",30421
3,Braga,Celorico de Basto,Agilde,30501
3,Braga,Celorico de Basto,Arnóia,30502
3,Braga,Celorico de Basto,Borba de Montanha,30503
3,Braga,Celorico de Basto,Codeçoso,30508
3,Braga,Celorico de Basto,Fervença,30510
3,Braga,Celorico de Basto,Moreira do Castelo,30515
3,Braga,Celorico de Basto,Rego,30517
3,Braga,Celorico de Basto,Ribas,30518
3,Braga,Celorico de Basto,Basto (São Clemente),30520
3,Braga,Celorico de Basto,Vale de Bouro,30521
3,Braga,Celorico de Basto,"União das freguesias de Britelo, Gémeos e Ourilhe",30523
3,Braga,Celorico de Basto,União das freguesias de Caçarilhe e Infesta,30524
3,Braga,Celorico de Basto,União das freguesias de Canedo de Basto e Corgo,30525
3,Braga,Celorico de Basto,União das freguesias de Carvalho e Basto (Santa Tecla),30526
3,Braga,Celorico de Basto,"União das freguesias de Veade, Gagos e Molares",30527
3,Braga,Esposende,Antas,30601
3,Braga,Esposende,Forjães,30608
3,Braga,Esposende,Gemeses,30610
3,Braga,Esposende,Vila Chã,30615
3,Braga,Esposende,União das freguesias de Apúlia e Fão,30616
3,Braga,Esposende,União das freguesias de Belinho e Mar,30617
3,Braga,Esposende,"União das freguesias de Esposende, Marinhas e Gandra",30618
3,Braga,Esposende,União das freguesias de Fonte Boa e Rio Tinto,30619
3,Braga,Esposende,União das freguesias de Palmeira de Faro e Curvos,30620
3,Braga,Fafe,Armil,30705
3,Braga,Fafe,Estorãos,30708
3,Braga,Fafe,Fafe,30709
3,Braga,Fafe,Fornelos,30712
3,Braga,Fafe,Golães,30714
3,Braga,Fafe,Medelo,30716
3,Braga,Fafe,Passos,30719
3,Braga,Fafe,Quinchães,30722
3,Braga,Fafe,Regadas,30723
3,Braga,Fafe,Revelhe,30724
3,Braga,Fafe,Ribeiros,30725
3,Braga,Fafe,Arões (Santa Cristina),30726
3,Braga,Fafe,São Gens,30728
3,Braga,Fafe,Silvares (São Martinho),30729
3,Braga,Fafe,Arões (São Romão),30730
3,Braga,Fafe,Travassós,30733
3,Braga,Fafe,Vinhós,30736
3,Braga,Fafe,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",30737
3,Braga,Fafe,União de freguesias de Agrela e Serafão,30738
3,Braga,Fafe,União de freguesias de Antime e Silvares (São Clemente),30739
3,Braga,Fafe,"União de freguesias de Ardegão, Arnozela e Seidões",30740
3,Braga,Fafe,União de freguesias de Cepães e Fareja,30741
3,Braga,Fafe,União de freguesias de Freitas e Vila Cova,30742
